FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum(s)
1,10.0.0.3,10.0.0.4,11,11,0,0,671996,0.0113663
2,10.0.0.4,10.0.0.3,6,6,0,0,63290.1,0.00921802
3,10.0.0.5,10.0.0.9,14,14,0,0,946279,0.00584841
4,10.0.0.9,10.0.0.5,7,7,0,0,64063.3,0.00446218
5,10.0.0.3,10.0.0.5,14,14,0,0,945185,0.00484576
6,10.0.0.5,10.0.0.3,7,7,0,0,62616.7,0.00541606
7,10.0.0.14,10.0.0.6,15,15,0,0,1.03008e+06,0.00538336
8,10.0.0.6,10.0.0.14,8,8,0,0,71019.7,0.00265828
9,10.0.0.13,10.0.0.5,12,12,0,0,764378,0.0124557
10,10.0.0.5,10.0.0.13,6,6,0,0,64986.7,0.0062571
11,10.0.0.3,10.0.0.9,13,13,0,0,854102,0.0127226
12,10.0.0.9,10.0.0.3,7,7,0,0,75615.8,0.00155523
13,10.0.0.9,10.0.0.6,12,12,0,0,764305,0.0114131
14,10.0.0.6,10.0.0.9,6,6,0,0,63287.5,0.00426823
15,10.0.0.9,10.0.0.1,13,13,0,0,855501,0.00466816
16,10.0.0.1,10.0.0.9,7,7,0,0,62713.3,0.0074773
17,10.0.0.10,10.0.0.5,11,11,0,0,673686,0.0122613
18,10.0.0.5,10.0.0.10,6,6,0,0,65093.7,0.00934413
19,10.0.0.8,10.0.0.3,13,13,0,0,852003,0.0108421
20,10.0.0.3,10.0.0.8,7,7,0,0,71641.6,0.00441715
21,10.0.0.15,10.0.0.11,14,14,0,0,946424,0.00380189
22,10.0.0.11,10.0.0.15,7,7,0,0,61335.5,0.00647844
23,10.0.0.2,10.0.0.4,12,12,0,0,763423,0.00734989
24,10.0.0.4,10.0.0.2,6,6,0,0,57368.4,0.00926303
25,10.0.0.4,10.0.0.11,14,14,0,0,947540,0.00383542
26,10.0.0.11,10.0.0.4,7,7,0,0,61463.4,0.00446215
27,10.0.0.14,10.0.0.9,14,14,0,0,947121,0.00577878
28,10.0.0.9,10.0.0.14,7,7,0,0,63950.4,0.00343622
29,10.0.0.2,10.0.0.13,11,11,0,0,673275,0.0122764
30,10.0.0.13,10.0.0.2,6,6,0,0,65003.6,0.00821906
31,10.0.0.2,10.0.0.1,14,14,0,0,945314,0.00389607
32,10.0.0.1,10.0.0.2,7,7,0,0,61233.6,0.00743205
33,10.0.0.12,10.0.0.6,14,14,0,0,945758,0.00592995
34,10.0.0.6,10.0.0.12,7,7,0,0,64138.6,0.00349919
35,10.0.0.3,10.0.0.1,12,12,0,0,763656,0.00858891
36,10.0.0.1,10.0.0.3,6,6,0,0,58933,0.0102171
37,10.0.0.12,10.0.0.3,14,14,0,0,945668,0.00596581
38,10.0.0.3,10.0.0.12,7,7,0,0,64113.8,0.00440813
39,10.0.0.15,10.0.0.13,13,13,0,0,852669,0.0118293
40,10.0.0.13,10.0.0.15,7,7,0,0,73474.4,0.0033915
41,10.0.0.11,10.0.0.2,13,13,0,0,851424,0.0129254
42,10.0.0.2,10.0.0.11,7,7,0,0,75216.4,0.00250014
43,10.0.0.1,10.0.0.4,11,11,0,0,673678,0.0111193
44,10.0.0.4,10.0.0.1,6,6,0,0,63176,0.00927208
45,10.0.0.14,10.0.0.8,13,13,0,0,855838,0.00853383
46,10.0.0.8,10.0.0.14,7,7,0,0,68434.3,0.00450713
47,10.0.0.10,10.0.0.9,14,14,0,0,946866,0.00388937
48,10.0.0.9,10.0.0.10,7,7,0,0,61485.9,0.00548831
49,10.0.0.6,10.0.0.15,12,12,0,0,763638,0.00840402
50,10.0.0.15,10.0.0.6,6,6,0,0,58759.4,0.0102353
51,10.0.0.12,10.0.0.15,15,15,0,0,1.0389e+06,0.00395541
52,10.0.0.15,10.0.0.12,8,8,0,0,70006.6,0.00266751
53,10.0.0.4,10.0.0.11,15,15,0,0,1.03872e+06,0.00281572
54,10.0.0.11,10.0.0.4,8,8,0,0,68328.2,0.00133614
55,10.0.0.11,10.0.0.3,12,12,0,0,764426,0.00658166
56,10.0.0.3,10.0.0.11,6,6,0,0,56310,0.00921813
57,10.0.0.8,10.0.0.7,13,13,0,0,855343,0.00662821
58,10.0.0.7,10.0.0.8,7,7,0,0,65475.9,0.00738703
59,10.0.0.6,10.0.0.4,14,14,0,0,942892,0.0101106
60,10.0.0.4,10.0.0.6,7,7,0,0,69894.3,0.00151025
61,10.0.0.3,10.0.0.2,14,14,0,0,946303,0.00680717
62,10.0.0.2,10.0.0.3,7,7,0,0,65435.3,0.00347201
63,10.0.0.13,10.0.0.14,12,12,0,0,764018,0.00751616
64,10.0.0.14,10.0.0.13,6,6,0,0,57544.5,0.00924507
65,10.0.0.3,10.0.0.5,15,15,0,0,1.03649e+06,0.00292787
66,10.0.0.5,10.0.0.3,8,8,0,0,68341,0.00133606
67,10.0.0.11,10.0.0.13,13,13,0,0,855779,0.00368022
68,10.0.0.13,10.0.0.11,7,7,0,0,61488.1,0.0105101
69,10.0.0.12,10.0.0.8,13,13,0,0,856354,0.0106441
70,10.0.0.8,10.0.0.12,7,7,0,0,71893.2,0.00159122
71,10.0.0.1,10.0.0.4,15,15,0,0,1.03675e+06,0.00287607
